Symbol,EngName,ChtName,PrevClose,Exchange,Currency,LotSize
00186,GRANDE HOLDINGS,GRANDE HOLDINGS,0.41,SEHK,HKD,2000
00187,JINGCHENG MAC,и╩л░╛ў╣qк╤еў,5.4,SEHK,HKD,2000
00188,SUNWAH KINGSWAY,╖s╡╪╢╫┤Iкў┐─,0.144,SEHK,HKD,10000
00189,DONGYUE GROUP,кFйи╢░╣╬,1.78,SEHK,HKD,1000
00190,HKC (HOLDINGS),н╗┤фл╪│]б]▒▒к╤б^,0.156,SEHK,HKD,1000
00191,LAI SUN INT'L,─R╖s░ъ╗┌,0.9,SEHK,HKD,1000
00193,CAPITAL ESTATE,лaдджa▓г,0.119,SEHK,HKD,15000
00194,LIU CHONG HING,╣∙│╨┐│е°╖~,8.78,SEHK,HKD,2000
00195,L'SEA RESOURCES,зQо№╕ъ╖╜,0.4,SEHK,HKD,10000
00196,HONGHUA GROUP,з╗╡╪╢░╣╬,0.54,SEHK,HKD,1000
00197,HENG TAI,жыої,0.081,SEHK,HKD,5000
00198,SMI HOLDINGS,мPм№▒▒к╤,0.53,SEHK,HKD,4000
00199,ITC PROPERTIES,╝w▓╗жa▓г,3.61,SEHK,HKD,1000
00200,MELCO INT'L DEV,╖s└┌░ъ╗┌╡oоi,11.58,SEHK,HKD,1000
00201,MAGNIFICENT,╡╪дjжa▓г,0.227,SEHK,HKD,2000
00202,EVERCHINA INT'L,╝эдд░ъ╗┌▒▒к╤,0.255,SEHK,HKD,5000
00204,CHINA INV DEV,дд░ъзы╕ъ╢}╡o,0.169,SEHK,HKD,20000
00205,SEEC MEDIA,░]░T╢╟┤C,0.13,SEHK,HKD,2000
00206,TSC GROUP,втвсв╤╢░╣╬,1.57,SEHK,HKD,1000
00207,JOY CITY PPT,дjоол░жa▓г,1.09,SEHK,HKD,2000
00208,POLYTEC ASSET,лOзQ╣F╕ъ▓г,1.06,SEHK,HKD,5000
00209,WINSHINE ENT,дд░ъ├s╤╘оT╝╓,1.05,SEHK,HKD,4000
00210,DAPHNE INT'L,╣Fк▄йg░ъ╗┌,1.39,SEHK,HKD,2000
00211,STYLAND HOLD,STYLAND HOLD,0.34,SEHK,HKD,10000
00212,NANYANG HOLD,NANYANG HOLD,39.8,SEHK,HKD,500
00213,NATIONAL ELEC H,NATIONAL ELEC H,0.909,SEHK,HKD,2000
00214,ASIA ORIENT,╢╫║~▒▒к╤,1.46,SEHK,HKD,2000
00215,HUTCHTEL HK,йM░O╣q░Tн╗┤ф,3.02,SEHK,HKD,2000
00216,CHINNEY INV,л╪╖~╣ъ╖~,1.6,SEHK,HKD,4000
00217,CHINA CHENGTONG,дд░ъ╕█│q╡oоi╢░╣╬,0.85,SEHK,HKD,2000
00218,SHENWANHONGYUAN,е╙╕Uз╗╖╜,2.84,SEHK,HKD,5000
00219,SHUN HO TECH,╢╢╗имьз▐,2.4,SEHK,HKD,2000
00220,U-PRESID CHINA,▓╬д@е°╖~дд░ъ,6.82,SEHK,HKD,1000
00221,PNG RESOURCES,в▐в▄в╒╕ъ╖╜,0.108,SEHK,HKD,20000
00222,MIN XIN HOLD,╗╘лH╢░╣╬,4.5,SEHK,HKD,2000
00223,SRGL,плж{╕ъ╖╜,0.15,SEHK,HKD,2000
00224,PIONEER GLOBAL,л╪е═░ъ╗┌,1.15,SEHK,HKD,4000
00225,POKFULAM,│╒┤I┴{╕m╖~,12.4,SEHK,HKD,2000
00226,LIPPO,дO─_,3.6,SEHK,HKD,1000
00227,FIRST SHANGHAI,▓─д@дWо№,1.1,SEHK,HKD,8000
00228,CHINA ENERGY,ддпр▒▒к╤,0.129,SEHK,HKD,2000
00229,RAYMOND IND,зQе┴╣ъ╖~,0.98,SEHK,HKD,1000
00230,MINMETALS LAND,дн─qл╪│],0.73,SEHK,HKD,2000
00231,MADEX INTL HOLD,▓▒й·░ъ╗┌▒▒к╤,0.164,SEHK,HKD,20000
